('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         794025 function calls (770006 primitive calls) in 2.892 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1309    0.001    0.000    0.001    0.000 filter.py:627(_match_attribute_value_helper)
     1272    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1272    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
 1272/192    0.005    0.000    0.068    0.000 sre_parse.py:436(_parse_sub)
     1122    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
     1122    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
     1058    0.001    0.000    0.001    0.000 sre_parse.py:296(_class_escape)
     1034    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1005    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      943    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      943    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      903    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      903    0.006    0.000    0.008    0.000 sre_compile.py:292(_optimize_charset)
      840    0.447    0.001    0.447    0.001 {built-in method posix.stat}
      835    0.001    0.000    0.447    0.001 <frozen importlib._bootstrap_external>:140(_path_stat)
      831    0.000    0.000    0.000    0.000 element.py:2168(get)
      806    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      806    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      805    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      804    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
  759/702    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      753    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      750    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      744    0.001    0.000    0.003    0.000 filter.py:616(_attribute_match)
      741    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      652    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      622    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      611    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      601    0.000    0.000    0.001    0.000 enum.py:678(__new__)
  566/563    0.006    0.000    0.047    0.000 {built-in method builtins.__build_class__}
      535    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      511    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      509    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      507    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      496    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
      489    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      489    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      429    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      412    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      412    0.004    0.000    0.340    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      406    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      404    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      392    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      385    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      382    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      341    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      336    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      335    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      328    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      328    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      328    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      328    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      326    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      326    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      321    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      320    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      311    0.000    0.000    0.000    0.000 socket.py:730(readable)
      309    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      309    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      309    1.484    0.005    1.484    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      309    0.001    0.000    1.484    0.005 ssl.py:1150(read)
      309    0.001    0.000    1.485    0.005 ssl.py:1292(recv_into)
      309    0.001    0.000    1.487    0.005 socket.py:691(readinto)
      308    0.002    0.000    0.114    0.000 re.py:288(_compile)
      307    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
      306    0.000    0.000    0.114    0.000 re.py:249(compile)
      295    0.000    0.000    0.000    0.000 enum.py:801(value)
      295    0.000    0.000    0.000    0.000 types.py:176(__get__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      275    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      270    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      270    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      269    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      267    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
